unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643179380,37465.0,37465.0,37464.7,37464.8,37464.7,0.30022688,3,2022-01-26 06:43:00,11247.940013824
1643179440,37471.3,37471.4,37469.6,37469.6,37470.9,0.00406399,5,2022-01-26 06:44:00,152.27607970399998
1643179500,37474.7,37474.7,37469.0,37469.0,37471.8,1.72442521,13,2022-01-26 06:45:00,64612.48819349
1643179560,37468.4,37468.5,37395.8,37395.8,37467.5,2.47323173,26,2022-01-26 06:46:00,92488.47912873402
1643179620,37386.0,37386.0,37350.0,37350.0,37365.3,0.41980103,35,2022-01-26 06:47:00,15679.5684705
1643179680,37350.1,37350.1,37327.4,37327.4,37346.9,0.75295067,29,2022-01-26 06:48:00,28105.690839358
1643179740,37323.1,37340.4,37316.3,37340.2,37316.6,0.33716552,16,2022-01-26 06:49:00,12589.827949903998
1643179800,37341.5,37341.5,37234.4,37246.4,37261.5,3.01370456,62,2022-01-26 06:50:00,112249.645523584
1643179860,37276.2,37337.2,37276.2,37337.2,37293.3,0.28152229,10,2022-01-26 06:51:00,10511.254046188
1643179920,37361.5,37379.6,37361.5,37364.7,37376.3,0.25673519,11,2022-01-26 06:52:00,9592.833353793
1643179980,37364.7,37381.0,37364.7,37381.0,37379.7,0.04047652,9,2022-01-26 06:53:00,1513.05279412
1643180040,37380.9,37381.0,37373.0,37373.5,37373.6,1.92907207,9,2022-01-26 06:54:00,72096.175008145
1643180100,37361.8,37361.8,37307.4,37307.4,37340.6,0.55837775,19,2022-01-26 06:55:00,20831.62207035
1643180160,37320.3,37345.4,37320.3,37333.5,37333.0,0.04173190,7,2022-01-26 06:56:00,1557.99788865
1643180220,37294.6,37339.6,37286.7,37331.5,37291.6,0.35368420,12,2022-01-26 06:57:00,13203.5617123
1643180280,37332.6,37334.6,37292.4,37292.4,37322.9,0.05853347,8,2022-01-26 06:58:00,2182.853576628
1643180340,37286.8,37310.3,37286.8,37310.3,37287.0,0.50970315,6,2022-01-26 06:59:00,19017.177437445
