unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643178000,2482.79,2483.13,2480.56,2480.56,2482.94,0.24830405,3,2022-01-26 06:20:00,615.933094268
1643178060,2480.56,2480.56,2480.56,2480.56,0.00,0.00000000,0,2022-01-26 06:21:00,0.0
1643178120,2480.31,2480.32,2480.31,2480.32,2480.31,2.54377290,14,2022-01-26 06:22:00,6309.370799328
1643178180,2480.31,2480.32,2480.31,2480.32,2480.31,0.84693226,8,2022-01-26 06:23:00,2100.6630231232
1643178240,2480.32,2480.32,2480.31,2480.31,2480.31,0.30510511,2,2022-01-26 06:24:00,756.7552553841
1643178300,2480.31,2480.32,2479.01,2479.01,2479.79,13.67945095,14,2022-01-26 06:25:00,33911.495699559506
1643178360,2479.00,2479.00,2476.02,2476.02,2478.99,9.99495256,3,2022-01-26 06:26:00,24747.7024376112
1643178420,2475.13,2475.13,2473.74,2473.74,2474.24,6.31518466,13,2022-01-26 06:27:00,15622.124900828398
1643178480,2473.74,2473.74,2468.71,2468.71,2470.27,17.28347328,39,2022-01-26 06:28:00,42667.883321068795
1643178540,2467.58,2467.58,2466.05,2466.05,2466.29,3.67414409,35,2022-01-26 06:29:00,9060.6230331445
1643178600,2466.05,2466.06,2466.05,2466.06,2466.05,0.16266566,4,2022-01-26 06:30:00,401.14327749959995
1643178660,2466.23,2469.85,2466.05,2466.05,2466.46,5.80287655,10,2022-01-26 06:31:00,14310.1837161275
1643178720,2466.06,2466.91,2460.00,2460.95,2465.16,69.29229250,55,2022-01-26 06:32:00,170524.867227875
1643178780,2461.47,2462.32,2461.47,2462.31,2462.29,3.45937357,10,2022-01-26 06:33:00,8518.0501351467
1643178840,2462.32,2462.32,2457.15,2458.69,2459.37,19.37496224,39,2022-01-26 06:34:00,47637.025909865595
1643178900,2459.36,2459.39,2458.98,2459.39,2459.36,1.08381011,3,2022-01-26 06:35:00,2665.5117464328996
1643178960,2459.56,2460.02,2459.56,2460.02,2460.00,1.68921869,9,2022-01-26 06:36:00,4155.5117617738
1643179020,2460.02,2462.43,2460.01,2460.01,2460.04,146.76605515,54,2022-01-26 06:37:00,361045.9633295515
1643179080,2460.01,2460.01,2460.01,2460.01,0.00,0.00000000,0,2022-01-26 06:38:00,0.0
1643179140,2460.56,2460.56,2460.55,2460.56,2460.55,0.21088516,3,2022-01-26 06:39:00,518.8955892895999
1643179200,2460.55,2460.55,2458.96,2458.96,2459.36,16.62336898,16,2022-01-26 06:40:00,40876.1993870608
1643179260,2458.72,2459.22,2457.50,2459.22,2457.79,46.72316274,30,2022-01-26 06:41:00,114902.53627346279
1643179320,2459.84,2460.34,2459.83,2460.30,2460.27,5.22954685,9,2022-01-26 06:42:00,12866.254115055002
1643179380,2460.30,2460.30,2460.29,2460.29,2460.29,2.29514843,7,2022-01-26 06:43:00,5646.7307308447
1643179440,2460.30,2460.30,2460.29,2460.29,2460.29,0.66457843,4,2022-01-26 06:44:00,1635.0556655447
1643179500,2460.29,2460.29,2455.75,2455.75,2457.91,16.60530907,32,2022-01-26 06:45:00,40778.4877486525
1643179560,2456.06,2456.23,2455.36,2455.70,2455.71,6.06410155,7,2022-01-26 06:46:00,14891.614176334999
1643179620,2455.24,2455.25,2453.10,2453.10,2454.63,9.43859422,29,2022-01-26 06:47:00,23153.815481082
1643179680,2453.09,2453.09,2451.41,2451.42,2451.87,0.91890889,5,2022-01-26 06:48:00,2252.6316311238
1643179740,2451.42,2451.42,2451.41,2451.41,2451.41,1.01020521,5,2022-01-26 06:49:00,2476.4271538461
1643179800,2451.42,2453.10,2448.99,2448.99,2450.18,20.98367993,25,2022-01-26 06:50:00,51388.822311770695
1643179860,2449.00,2450.13,2449.00,2450.13,2449.68,8.23137978,12,2022-01-26 06:51:00,20167.9505403714
1643179920,2452.10,2453.10,2452.10,2453.10,2452.24,7.01998876,4,2022-01-26 06:52:00,17220.734427156
1643179980,2453.09,2453.09,2452.94,2453.09,2452.98,18.33252234,9,2022-01-26 06:53:00,44971.327227030604
1643180040,2453.09,2454.58,2453.09,2453.97,2454.39,10.80553295,19,2022-01-26 06:54:00,26516.453693311498
1643180100,2452.11,2452.11,2452.10,2452.10,2452.10,0.16298881,2,2022-01-26 06:55:00,399.664861001
1643180160,2450.22,2452.19,2450.22,2452.18,2450.80,0.14161411,5,2022-01-26 06:56:00,347.26328825979994
1643180220,2451.89,2452.59,2450.33,2452.59,2452.11,1.87071453,8,2022-01-26 06:57:00,4588.095749132701
1643180280,2452.44,2452.44,2452.44,2452.44,2452.44,0.16097800,1,2022-01-26 06:58:00,394.78888632
1643180340,2452.43,2452.45,2452.43,2452.45,2452.43,0.27183046,3,2022-01-26 06:59:00,666.650611627
1643180400,2452.40,2452.59,2452.07,2452.07,2452.52,0.65640671,4,2022-01-26 07:00:00,1609.5552013897
1643180460,2450.82,2451.32,2450.82,2451.32,2451.02,5.32246651,10,2022-01-26 07:01:00,13047.068605293201
1643180520,2452.25,2452.25,2448.82,2448.82,2451.46,4.80023545,9,2022-01-26 07:02:00,11754.912574669
1643180580,2448.78,2448.78,2448.78,2448.78,2448.78,0.13627636,3,2022-01-26 07:03:00,333.71082484080006
1643180640,2448.78,2449.19,2448.78,2448.78,2448.78,0.85317298,8,2022-01-26 07:04:00,2089.2329299644002
1643180700,2448.78,2449.23,2448.77,2449.03,2448.84,1.42643599,5,2022-01-26 07:05:00,3493.3845325897005
1643180760,2449.15,2449.32,2448.25,2448.25,2448.78,1.50981943,8,2022-01-26 07:06:00,3696.4154194975004
1643180820,2449.01,2449.01,2448.09,2448.09,2448.44,7.82162702,15,2022-01-26 07:07:00,19148.0468913918
1643180880,2449.12,2449.35,2449.03,2449.35,2449.22,1.94655923,8,2022-01-26 07:08:00,4767.8048500005
1643180940,2449.29,2449.74,2449.29,2449.74,2449.70,0.49763187,4,2022-01-26 07:09:00,1219.0686972137999
1643181000,2449.74,2450.48,2449.74,2449.74,2449.80,163.51347758,45,2022-01-26 07:10:00,400565.50656682916
1643181060,2449.74,2450.86,2449.74,2450.86,2450.81,0.69336590,6,2022-01-26 07:11:00,1699.342749674
1643181120,2450.86,2450.86,2450.85,2450.85,2450.85,3.98798023,7,2022-01-26 07:12:00,9773.9413466955
1643181180,2450.85,2450.85,2450.85,2450.85,0.00,0.00000000,0,2022-01-26 07:13:00,0.0
1643181240,2449.73,2449.73,2448.41,2449.13,2448.97,3.29975994,7,2022-01-26 07:14:00,8081.5410618522
1643181300,2448.43,2448.43,2447.18,2447.91,2447.84,0.89823140,5,2022-01-26 07:15:00,2198.789626374
1643181360,2448.39,2448.59,2448.39,2448.59,2448.58,0.80608103,2,2022-01-26 07:16:00,1973.7619492477002
1643181420,2449.00,2450.86,2449.00,2450.86,2449.55,8.82727002,18,2022-01-26 07:17:00,21634.4030012172
1643181480,2450.86,2453.49,2450.86,2453.49,2451.42,1.97402368,21,2022-01-26 07:18:00,4843.2473586432
1643181540,2453.57,2455.77,2453.57,2454.74,2454.71,33.90396653,13,2022-01-26 07:19:00,83225.42279985218
1643181600,2454.84,2457.23,2454.84,2456.87,2456.91,3.69785897,9,2022-01-26 07:20:00,9085.1587676239
1643181660,2456.87,2458.77,2456.87,2457.97,2457.65,3.20603000,3,2022-01-26 07:21:00,7880.3255591
