unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643235660,36417.4,36420.2,36336.1,36398.5,36392.1,2.89681216,37,2022-01-26 22:21:00,105439.61740576
1643235720,36362.6,36416.5,36355.9,36410.4,36373.8,5.65435702,26,2022-01-26 22:22:00,205877.400841008
1643235780,36410.3,36415.1,36405.0,36405.0,36408.1,0.81130959,13,2022-01-26 22:23:00,29535.725623950002
1643235840,36357.4,36373.6,36345.9,36373.6,36363.0,0.26778547,15,2022-01-26 22:24:00,9740.321571592001
1643235900,36373.0,36415.1,36338.2,36415.1,36347.3,0.15395241,11,2022-01-26 22:25:00,5606.192405391001
1643235960,36397.3,36409.6,36391.6,36394.2,36396.1,0.08168379,6,2022-01-26 22:26:00,2972.816190018
1643236020,36395.7,36395.7,36391.0,36391.9,36391.1,1.33213142,4,2022-01-26 22:27:00,48478.793423498006
1643236080,36397.8,36400.8,36392.8,36395.7,36395.4,2.83451029,26,2022-01-26 22:28:00,103163.98616175298
1643236140,36395.6,36395.7,36370.1,36370.1,36395.0,0.44495892,24,2022-01-26 22:29:00,16183.200416291998
1643236200,36370.1,36399.7,36370.1,36398.9,36390.2,0.68088473,50,2022-01-26 22:30:00,24783.455198797004
1643236260,36399.9,36400.0,36399.9,36400.0,36399.9,0.83755115,25,2022-01-26 22:31:00,30486.86186
1643236320,36400.0,36400.0,36399.9,36400.0,36399.9,0.00514194,4,2022-01-26 22:32:00,187.166616
1643236380,36400.0,36527.1,36400.0,36527.1,36412.0,5.73010721,49,2022-01-26 22:33:00,209304.19907039098
1643236440,36526.7,36526.7,36445.5,36445.5,36492.3,1.59610653,14,2022-01-26 22:34:00,58170.900539115
1643236500,36446.2,36483.1,36434.9,36483.1,36442.5,1.36509538,22,2022-01-26 22:35:00,49802.911258078
1643236560,36527.1,36541.7,36463.4,36483.4,36490.9,1.40190781,22,2022-01-26 22:36:00,51146.363395354005
1643236620,36483.4,36488.8,36477.7,36488.8,36480.8,0.15914114,11,2022-01-26 22:37:00,5806.869229232
1643236680,36488.8,36520.4,36488.8,36520.4,36510.3,0.15767334,12,2022-01-26 22:38:00,5758.293446136
1643236740,36532.3,36597.7,36532.3,36597.7,36548.4,3.91431363,42,2022-01-26 22:39:00,143254.875936651
1643236800,36585.0,36585.0,36534.8,36541.7,36554.6,1.00210228,25,2022-01-26 22:40:00,36618.520885075995
1643236860,36534.9,36534.9,36511.9,36517.2,36514.8,0.44933746,26,2022-01-26 22:41:00,16408.545894312
1643236920,36525.3,36525.3,36524.3,36524.3,36524.3,0.02952754,3,2022-01-26 22:42:00,1078.4727292220002
1643236980,36524.3,36524.3,36375.2,36392.7,36433.1,4.37259054,51,2022-01-26 22:43:00,159130.375745058
1643237040,36484.8,36523.3,36484.8,36523.3,36511.8,0.03568191,12,2022-01-26 22:44:00,1303.221103503
1643237100,36516.3,36532.9,36479.4,36532.9,36497.2,0.65883158,11,2022-01-26 22:45:00,24069.028228982
1643237160,36537.5,36538.8,36531.7,36531.7,36532.9,0.29535720,7,2022-01-26 22:46:00,10789.900623239999
1643237220,36499.2,36499.2,36499.2,36499.2,36499.2,0.77921439,14,2022-01-26 22:47:00,28440.701863488
1643237280,36499.2,36537.8,36499.1,36532.2,36528.4,1.36650908,22,2022-01-26 22:48:00,49921.583012375995
1643237340,36534.0,36537.1,36530.2,36537.1,36533.4,0.14090957,10,2022-01-26 22:49:00,5148.427050047
1643237400,36537.1,36537.1,36525.1,36525.1,36535.2,0.50667417,9,2022-01-26 22:50:00,18506.324726667
1643237460,36525.0,36525.0,36446.3,36490.5,36492.9,2.26514749,21,2022-01-26 22:51:00,82656.364483845
1643237520,36490.6,36508.5,36474.2,36503.2,36477.9,2.91598753,16,2022-01-26 22:52:00,106442.876005096
1643237580,36503.2,36525.3,36503.2,36525.3,36520.8,0.35877891,21,2022-01-26 22:53:00,13104.507321423001
1643237640,36525.2,36537.0,36492.9,36530.1,36497.9,1.76989644,16,2022-01-26 22:54:00,64654.493942844
1643237700,36527.3,36537.1,36526.1,36537.1,36532.4,0.01243938,10,2022-01-26 22:55:00,454.498870998
1643237760,36537.1,36537.1,36533.6,36533.6,36536.5,0.82468261,12,2022-01-26 22:56:00,30128.624600696
1643237820,36533.6,36533.6,36528.1,36528.1,36532.1,0.05134738,8,2022-01-26 22:57:00,1875.622231378
1643237880,36528.1,36528.1,36512.6,36512.6,36522.9,0.04376314,10,2022-01-26 22:58:00,1597.906025564
1643237940,36512.6,36537.1,36500.7,36537.1,36503.5,1.08239713,15,2022-01-26 22:59:00,39547.65217852299
1643238000,36537.1,36537.1,36494.0,36494.0,36531.9,0.12272661,9,2022-01-26 23:00:00,4478.78490534
1643238060,36510.2,36510.2,36479.2,36479.3,36498.8,0.58341899,10,2022-01-26 23:01:00,21282.716361907
